ID1,Reference,Province,Ecoregion,Region,Country,Platform,Thermal_regime,Location,Site,Year,Date,Period_ENOS,Coral_cover,Algal_cover,Lat,Lon
1,"Reyes-Bonilla, 1999 ",Tropical_East_Pacific,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Cabo_Pulmo,1991,1/1/91,1983-1997,30.46,,23.368583,-109.416667
2,"Reyes-Bonilla, 1999 ",Tropical_East_Pacific,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Cabo_Pulmo,1992,1/1/92,1983-1997,30.46,,23.368583,-109.416667
3,"Reyes-Bonilla, 2002 ",Tropical_East_Pacific,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Gulf_of_California,1997,1/1/97,1983-1997,28.15,,23.833333,-109.416667
4,"Reyes-Bonilla, 2002 ",Tropical_East_Pacific,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Gulf_of_California,1998,1/1/98,1998-2016,25.31,,23.833333,-109.416667
5,"Reyes-Bonilla, 2002 ",Tropical_East_Pacific,Cortezian,Mexican_Central,Mexico,Continental,Seasonal,Bahia_Banderas,Bahia_Banderas,1997,1/1/97,1983-1997,12.44,,20.616507,-105.42879
6,"Reyes-Bonilla, 2002 ",Tropical_East_Pacific,Cortezian,Mexican_Central,Mexico,Continental,Seasonal,Bahia_Banderas,Bahia_Banderas,1998,1/1/98,1998-2016,1.31,,20.616507,-105.42879
7,"Reyes-Bonilla, 2002 ",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Oaxaca,Oaxaca,1997,1/1/97,1983-1997,48,,15.773396,-96.053582
8,"Reyes-Bonilla, 2002 ",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Oaxaca,Oaxaca,1999,1/1/99,1998-2016,0.44,,15.773396,-96.053582
9,"Robinson, 1992 ",Tropical_East_Pacific,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Cabo_Pulmo,1991,1/1/91,1983-1997,73.85,23.66,23.368583,-109.416667
10,"Aranceta-Garza, 2012 ",Cortezian,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Loreto,2008,1/1/08,1998-2016,0.5,,25.795504,-111.231871
11,"Aranceta-Garza, 2012 ",Cortezian,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Portugues,2008,1/1/08,1998-2016,38.1,,24.68758,-110.695293
